date,gross_ret,net_ret,turnover,n_holdings,n_kept,illiquid_share,trading_cost,gross_nav,net_nav
2024-11-28,0.036134553037042653,0.033914553037042654,0.30000000000000004,20,14,0.85,0.0022200000000000006,0.9084912696931317,0.6134676547730031
2024-12-05,0.06817058009162057,0.06437058009162057,0.5,20,10,0.9,0.0038000000000000004,0.9704236465562853,0.6529569235781874
2024-12-12,-0.03081475028988877,-0.034414750289888774,0.5,20,10,0.8,0.0036,0.9405202842122501,0.6304855741031901
2024-12-19,-0.035946979800091566,-0.04075697980009157,0.65,20,7,0.85,0.00481,0.906711420554096,0.6047888862952172
2024-12-26,-0.05505559070128514,-0.05829559070128514,0.44999999999999996,20,11,0.8,0.0032399999999999994,0.8567918876998889,0.5695323609190652
2025-01-03,-0.006332380132427515,-0.011012380132427516,0.65,20,7,0.8,0.00468,0.851366355772593,0.5632604540629056
2025-01-10,0.0447196266988859,0.0391696266988859,0.75,20,5,0.85,0.00555,0.8894391413867342,0.5853231557827946
2025-01-17,-0.01785562713400674,-0.02181562713400674,0.55,20,9,0.8,0.00396,0.8735576477197415,0.572553964063337
2025-01-24,0.0686103508541461,0.0638103508541461,0.75,20,5,0.6,0.0048,0.9334927444211155,0.6090888333931507
2025-02-10,0.03664217488537502,0.031092174885375023,0.75,20,5,0.85,0.00555,0.9676979488164228,0.6280267299217396
2025-02-17,0.01591309837667007,0.01051309837667007,0.75,20,5,0.8,0.0054,0.9830970214748402,0.6346292367165852
2025-02-24,0.0028163490832398266,-0.0016036509167601737,0.65,20,7,0.7,0.00442,0.9858657658700066,0.6336115129593218
2025-03-03,0.030643999983536296,0.025543999983536295,0.75,20,5,0.7,0.0051,1.0160766363830962,0.6497964854359232
2025-03-10,0.059672530238162755,0.055232530238162755,0.6,20,8,0.85,0.00444,1.0767085001919572,0.6856863894664146
2025-03-17,0.006134608039652554,0.002894608039652555,0.44999999999999996,20,11,0.8,0.0032399999999999994,1.083313684813597,0.6876711828020444
2025-03-24,0.003611177844510395,-0.00023882215548960565,0.55,20,9,0.75,0.0038500000000000006,1.0872257231908509,0.6875069516878995
2025-03-31,-0.12828070092484675,-0.13422070092484675,0.9,20,2,0.65,0.00594,0.9477556453564051,0.5952292867416449
2025-04-08,0.1031562718855634,0.09790627188556339,0.75,20,5,0.75,0.00525,1.0455225843898681,0.6535059671236224
2025-04-15,0.02297908823541877,0.01772908823541877,0.75,20,5,0.75,0.00525,1.069547740108686,0.6650920320771299
2025-04-22,0.024866976123915342,0.020516976123915343,0.75,20,5,0.45,0.004350000000000001,1.0961441582253562,0.6787377094194625
2025-04-29,0.07425260367955895,0.07019260367955896,0.7,20,6,0.45,0.00406,1.1775357159817272,0.7263800764591146
2025-05-09,0.009990591756546832,0.005190591756546832,0.8,20,4,0.5,0.0048000000000000004,1.1892999945988538,0.7301504188961032
2025-05-16,-0.023471185061352158,-0.02874118506135216,0.85,20,3,0.55,0.00527,1.161385714332159,0.7091650305839865
2025-05-23,-0.0026383328111647293,-0.00791833281116473,0.8,20,4,0.65,0.00528,1.1583215922956185,0.7035496258537827
2025-05-30,0.03271214984431171,0.02875214984431171,0.6,20,8,0.65,0.00396,1.1962127817906945,0.72377819011924
2025-06-09,-0.018145080477851273,-0.021995080477851273,0.55,20,9,0.75,0.0038500000000000006,1.174507404596468,0.7078586305794539
2025-06-16,-0.021988867055462352,-0.027428867055462353,0.8,20,4,0.7,0.00544,1.1486813174211403,0.6884428703072284
2025-06-23,0.043079142869866624,0.039049142869866625,0.65,20,7,0.55,0.004030000000000001,1.1981655240062723,0.7153259743075965
2025-06-30,-0.004012631798570995,-0.008912631798570995,0.7,20,6,0.75,0.0049,1.193357726924693,0.7089505372826388
2025-07-07,0.016252597113081333,0.011832597113081333,0.65,20,7,0.7,0.00442,1.2127528892721826,0.7173392633634068
2025-07-14,0.020900951405182725,0.016280951405182726,0.7,20,6,0.65,0.00462,1.2381005784773556,0.729018229051256
2025-07-21,0.006812657617440489,0.0029726576174404894,0.6,20,8,0.6,0.0038399999999999997,1.246535333814477,0.7311853506430982
2025-07-28,0.00441643639284462,6.643639284461926e-05,0.75,20,5,0.45,0.004350000000000001,1.252040577827702,0.7312339279602957
