date,gross_ret,net_ret,turnover,n_holdings,n_kept,n_new,illiquid_share,trading_cost,gross_nav,net_nav
2023-08-02,0.00420807781147639,0.002348077811476389,0.30000000000000004,20,14,6,0.55,0.0018600000000000005,1.2247435277665664,1.1601433720857082
2023-08-09,-0.04270356800953877,-0.04474356800953877,0.30000000000000004,20,14,6,0.7,0.0020400000000000006,1.1724426092343443,1.1082344182159758
2023-08-16,0.007415386818856067,0.0038153868188560668,0.5,20,10,10,0.8,0.0036,1.1811367247047257,1.1124627612074396
2023-08-23,0.03457124852142571,0.03142124852142571,0.44999999999999996,20,11,9,0.75,0.0031499999999999996,1.2219700959522757,1.14741773009817
2023-08-30,-0.00922728060985501,-0.011747280609855009,0.35,20,13,7,0.8,0.0025199999999999997,1.2106946349800727,1.133938692045984
2023-09-06,-0.01947742407684928,-0.02243742407684928,0.4,20,12,8,0.85,0.0029600000000000004,1.1871134221469997,1.1084960287354004
2023-09-13,-0.021368098025089516,-0.024328098025089517,0.4,20,12,8,0.85,0.0029600000000000004,1.161747066175663,1.0815284286879032
2023-09-20,0.019932695599907412,0.01705269559990741,0.4,20,12,8,0.8,0.00288,1.184903816809828,1.0999714037649644
2023-09-27,0.04537369386879155,0.043933693868791555,0.19999999999999996,20,16,4,0.8,0.0014399999999999997,1.2386672798577198,1.1482972106823992
2023-10-12,-0.04534767823273842,-0.04674767823273842,0.19999999999999996,20,16,4,0.75,0.0013999999999999998,1.1824965946133106,1.0946169821618674
2023-10-19,0.01419651268690111,0.01274651268690111,0.25,20,15,5,0.45,0.0014500000000000001,1.1992839225209557,1.108569531412291
2023-10-26,0.03346247977429561,0.03136247977429561,0.30000000000000004,20,14,6,0.75,0.0021000000000000003,1.239414936521951,1.1433370209196092
2023-11-02,0.042310831435421095,0.0410308314354211,0.19999999999999996,20,16,4,0.6,0.0012799999999999997,1.291855612979674,1.1902490894988382
2023-11-09,0.029797439469872587,0.027757439469872587,0.30000000000000004,20,14,6,0.7,0.0020400000000000006,1.330349602411251,1.2232873565546731
2023-11-16,0.016281712302370847,0.014921712302370847,0.19999999999999996,20,16,4,0.7,0.0013599999999999999,1.3520099718992846,1.2415408985523098
2023-11-23,0.0071897175556954376,0.005869717555695438,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.361730541729724,1.248828392960656
2023-11-30,-0.029422937495052436,-0.030782937495052436,0.19999999999999996,20,16,4,0.7,0.0013599999999999999,1.3216644291153066,1.2103857865981014
2023-12-07,-0.000363677329862825,-0.0020636773298628253,0.25,20,15,5,0.7,0.0017000000000000001,1.3211837697247513,1.2078879408899108
2023-12-14,-0.009334246663903565,-0.011034246663903565,0.25,20,15,5,0.7,0.0017000000000000001,1.3088515145297945,1.194559807407777
2023-12-21,-0.00690799726957336,-0.00914799726957336,0.35,20,13,7,0.6,0.00224,1.2998099718411458,1.1836319775512685
2023-12-28,-0.012708346544679321,-0.015018346544679321,0.35,20,13,7,0.65,0.00231,1.2832915362767585,1.1658557823310394
2024-01-05,-0.021405596413317608,-0.02460559641331761,0.5,20,10,10,0.6,0.0031999999999999997,1.2558219155705919,1.1371692054748692
2024-01-12,-0.05264042309558309,-0.05456042309558309,0.30000000000000004,20,14,6,0.6,0.00192,1.1897149186022504,1.0751247724928923
2024-01-19,-0.01753712301540771,-0.020057123015407713,0.35,20,13,7,0.8,0.0025199999999999997,1.168850741721457,1.05356086267409
2024-01-26,-0.18882797736792473,-0.19141797736792474,0.35,20,13,7,0.85,0.00259,0.9481390203171958,0.8518903733070098
2024-02-02,-0.019464035075315855,-0.021504035075315855,0.30000000000000004,20,14,6,0.7,0.0020400000000000006,0.9296844091694662,0.8335712928390919
2024-02-19,0.08872765109753918,0.08686765109753918,0.30000000000000004,20,14,6,0.55,0.0018600000000000005,1.0121731230570765,0.9059816730703629
2024-02-26,0.030400275649991752,0.028960275649991752,0.30000000000000004,20,14,6,0.2,0.0014400000000000003,1.0429434650035245,0.9322191520563214
2024-03-04,-0.00275225603908079,-0.00395225603908079,0.30000000000000004,20,14,6,0.0,0.0012000000000000001,1.0400730175535486,0.9285347832828601
2024-03-11,0.029493681371010015,0.028293681371010015,0.30000000000000004,20,14,6,0.0,0.0012000000000000001,1.070748599735858,0.9548064505829651
2024-03-18,-0.009380071745389282,-0.010180071745389282,0.19999999999999996,20,16,4,0.0,0.0007999999999999998,1.0607049010490606,0.94508645241307
2024-03-25,0.025380756474955402,0.024580756474955404,0.19999999999999996,20,16,4,0.0,0.0007999999999999998,1.0876263938343784,0.9683173923476152
2024-04-01,-0.04245889083670161,-0.04337889083670161,0.19999999999999996,20,16,4,0.15,0.0009199999999999998,1.0414469835074491,0.9263128578896883
2024-04-10,-0.019545275734597467,-0.020795275734597468,0.25,20,15,5,0.25,0.00125,1.0210916150518312,0.9070499265933692
